service,use_case,run_id,valid,vus,iterations,http_reqs,checks_passes,checks_fails,application_ram_avg,application_ram_median,application_cpu_avg,application_cpu_median,application_energy,database_ram_avg,database_ram_median,database_cpu_avg,database_cpu_median,database_energy
go-pgx,default,1655914243,True,20,1220,819840,819840,0,56805543.32026144,57417728.0,0.06678576960124853,0.058549319234193056,34032628046.0,856861650.2733424,946851840.0,0.726134142224852,0.941099036672851,81578542453.0
go-pgx,default,1655915081,True,20,1220,819840,819840,0,55803087.477124184,56133632.0,0.0669320557039143,0.05781315457675737,34543081531.0,857373704.2803235,951865344.0,0.7264680587794794,0.9428285537854262,82908331579.0
go-pgx,default,1655915919,True,20,1220,819840,819840,0,55728911.55336618,56008704.0,0.0666101787771061,0.05783392636754763,34163559494.0,855442349.8013605,943153152.0,0.7285111405034942,0.9427378270794247,72907076370.0
go-pgx,default,1655916754,True,20,1220,819840,819840,0,54290147.090016365,54632448.0,0.06668947842548861,0.05849090821406347,34795045882.0,850261207.3595659,948981760.0,0.7228176885779742,0.9420471004932183,81737477406.0
go-pgx,default,1655917591,True,20,1220,819840,819840,0,51298786.671031095,51568640.0,0.06621143950471009,0.05807871490566038,34583131106.0,860566791.6314363,952782848.0,0.7246369709752057,0.9428901327545206,73928581162.0
go-pgx,default,1655918425,True,20,1220,819840,819840,0,52403248.76190476,52690944.0,0.06662682498448687,0.057982785714285716,34407218375.0,855862539.1304348,950124544.0,0.7261573418344451,0.9419654065022849,81152493821.0
go-pgx,default,1655919260,True,20,1220,819840,819840,0,49568298.87684729,48939008.0,0.06668574921800795,0.058463015201005025,34500921997.0,852125459.1564626,945061888.0,0.7249861026828927,0.9421133641837368,81911162933.0
go-pgx,default,1655920092,True,20,1220,819840,819840,0,51550311.90834697,51904512.0,0.06698841301308989,0.05836260703517588,35120476486.0,858575076.173913,942782464.0,0.7264537301482099,0.9417371169732529,81525605300.0
go-pgx,mysql,1656399308,True,20,522,355209,355209,0,23877736.025396824,24309760.0,0.04233014644217758,0.03484747184987401,28006531863.0,986693340.230137,1005154304.0,0.5172910552459535,0.6131245190320429,182583314236.0
go-pgx,mysql,1656400136,True,20,527,355457,355457,0,24507138.858054228,24719360.0,0.042099649816459306,0.034940560459342025,27717604513.0,997367526.6813186,1017675776.0,0.5192016745599861,0.6136635357385753,183120359358.0
go-pgx,mysql,1656400963,True,20,528,356761,356761,0,22974795.58095238,23173120.0,0.041994735568460624,0.03388903537120338,28002368736.0,1004789968.1758242,1022822400.0,0.5206984358860163,0.6135297882409891,183113845246.0
go-pgx,mysql,1656401791,True,20,525,352800,352800,0,22886972.91318328,23140352.0,0.04203201090448957,0.03461192232709371,28399061078.0,1003811025.3259668,1022879744.0,0.5148665037379035,0.6132389412500603,181968084682.0
go-pgx,mysql,1656402614,True,20,527,356692,356692,0,24793224.750397455,24932352.0,0.042311287318921025,0.0336780645,28769045113.0,1003507891.3050616,1024507904.0,0.5206961703465198,0.6144645431238333,183814738709.0
go-pgx,mysql,1656403441,True,20,528,357296,357296,0,25175437.859872613,25585664.0,0.041982549447838684,0.033190189071007514,27847011380.0,968832721.0082191,983291904.0,0.5233986566590342,0.6139509096932508,183607582823.0
go-pgx,mysql,1656404267,True,20,528,356090,356090,0,24627499.073015872,24821760.0,0.04221117877038611,0.03332262562981444,28323240847.0,1003494416.8791208,1018929152.0,0.5202351441272088,0.6134151670382026,183623233866.0
go-pgx,mysql,1656405095,True,20,527,354815,354815,0,24593276.13354531,24809472.0,0.04222831431714775,0.033858733085961656,28944930338.0,999657718.8821918,1014108160.0,0.5176808830750865,0.6130682241277248,182905009633.0
